acc                                                         
time,z_velocity @ 15934119,z_velocity @ 15935261,z_velocity @ 15937105,z_velocity @ 15939050,
    3.4200000763e-01,   -3.4458153248e+00,   -3.3579812050e+00,    7.4989504814e+00,    7.2635493279e+00,
    3.4400001168e-01,   -6.7091608047e+00,   -7.3942017555e+00,    7.5318651199e+00,    6.3897166252e+00,
    3.4700000286e-01,   -9.0879564285e+00,   -1.0761529922e+01,    6.4308314323e+00,    4.2145791054e+00,
    3.4900000691e-01,   -8.6920480728e+00,   -1.0797904968e+01,    5.1969547272e+00,    2.5728151798e+00,
    3.5199999809e-01,   -5.4814977646e+00,   -7.7921543121e+00,    3.1585543156e+00,    4.6466025710e-01,
    3.5400000215e-01,   -2.2291402817e+00,   -4.3774046898e+00,    1.8508653641e+00,   -5.4755401611e-01,
    3.5699999332e-01,    2.9008262157e+00,    1.3390851021e+00,    4.0287649632e-01,   -1.2037194967e+00,
    3.5899999738e-01,    5.7720570564e+00,    4.7134222984e+00,    3.4735697508e-01,   -6.6170603037e-01,
    3.6199998856e-01,    8.4643154144e+00,    8.1055536270e+00,    2.2900447845e+00,    2.0014681816e+00,
    3.6399999261e-01,    8.9041395187e+00,    8.8754348755e+00,    4.5528831482e+00,    4.5286669731e+00,
    3.6700001359e-01,    7.6678824425e+00,    7.8294692039e+00,    8.2062921524e+00,    8.1977882385e+00,
    3.6899998784e-01,    6.0031418800e+00,    6.0673594475e+00,    1.0406381607e+01,    1.0159810066e+01,
    3.7200000882e-01,    3.2826216221e+00,    2.9074430466e+00,    1.3071521759e+01,    1.2181525230e+01,
    3.7400001287e-01,    1.8200967312e+00,    1.0331294537e+00,    1.4126566887e+01,    1.2723910332e+01,
    3.7700000405e-01,    6.5228480101e-01,   -7.4335503578e-01,    1.4028996468e+01,    1.1967586517e+01,
    3.7900000811e-01,    6.7038375139e-01,   -1.0133514404e+00,    1.2734391212e+01,    1.0433215141e+01,
    3.8199999928e-01,    1.7978776693e+00,   -8.8767055422e-03,    9.6751813889e+00,    7.4237298965e+00,
    3.8400000334e-01,    3.0647029877e+00,    1.4142037630e+00,    7.5317692757e+00,    5.5894026756e+00,
    3.8699999452e-01,    5.0459794998e+00,    3.9626307487e+00,    4.8826608658e+00,    3.7419273853e+00,
    3.8899999857e-01,    6.0530428886e+00,    5.5066118240e+00,    3.8515901566e+00,    3.3775768280e+00,
    3.9199998975e-01,    6.7495794296e+00,    7.0793027878e+00,    3.9451358318e+00,    4.4576830864e+00,
    3.9399999380e-01,    6.6228947639e+00,    7.4730024338e+00,    5.1975684166e+00,    6.2338671684e+00,
    3.9700001478e-01,    5.6786780357e+00,    7.0638537407e+00,    8.3161869049e+00,    9.7988252640e+00,
    3.9899998903e-01,    4.7426214218e+00,    6.2770547867e+00,    1.0654022217e+01,    1.2186733246e+01,
